"@timestamp","json.apk","json.PII","json.testing_label","json.country"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.043","com.atistudios.mondly.languages","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:13.042","com.atistudios.mondly.languages","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:13.042","com.atistudios.mondly.languages","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:12.918","com.chic.policelights","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.918","com.chic.policelights","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.918","com.chic.policelights","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.918","com.chic.policelights","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.913","com.Neighbor.AlphaGuide","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.913","com.Neighbor.AlphaGuide","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.913","com.Neighbor.AlphaGuide","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.913","com.Neighbor.AlphaGuide","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.892","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.892","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.892","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid",Brazil
"Feb 6, 2020 @ 10:01:12.892","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid",Brazil
"Feb 6, 2020 @ 10:01:12.892","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.891","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.891","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.891","com.hutappid.catstickers","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.858","com.entradas.mobile.app.Android","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:12.857","com.entradas.mobile.app.Android","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:12.857","com.entradas.mobile.app.Android","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:12.809","com.doodle.master.draw.glow.art","Certificate Pinning","int_transfers_optout_aaid","United Kingdom"
"Feb 6, 2020 @ 10:01:12.808","com.doodle.master.draw.glow.art","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.808","com.doodle.master.draw.glow.art","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.807","com.doodle.master.draw.glow.art","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.807","com.doodle.master.draw.glow.art","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.807","com.doodle.master.draw.glow.art","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.796","com.google.android.play.games","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.795","com.google.android.play.games","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.621","com.facebook.mlite","Certificate Pinning","int_transfers_optout_aaid",Ireland
"Feb 6, 2020 @ 10:01:12.621","com.impossible.stunt.track.racing","Certificate Pinning","int_transfers_optout_aaid",Japan
"Feb 6, 2020 @ 10:01:12.621","com.facebook.mlite","Certificate Pinning","int_transfers_optout_aaid",Ireland
"Feb 6, 2020 @ 10:01:12.621","com.facebook.mlite","Certificate Pinning","int_transfers_optout_aaid",Ireland
"Feb 6, 2020 @ 10:01:12.620","com.picmax.wemoji","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:12.620","com.facebook.mlite","Certificate Pinning","int_transfers_optout_aaid",Ireland
"Feb 6, 2020 @ 10:01:12.620","com.parkeon.whoosh","Certificate Pinning","int_transfers_optout_aaid","United States"
